DATE,Symbol,close_price,Retornos,Retornos_2,Weights,EWMA,
8/3/2016,.OMXHPI,7915.33,-0.016725354,0,0,0,
9/3/2016,.OMXHPI,7951.22,0.004523991,0,0,0,
10/3/2016,.OMXHPI,7894.35,-0.007178062,0,0,0,
11/3/2016,.OMXHPI,8006.57,0.014115141,0,0,0,
14/03/2016,.OMXHPI,8160.15,0.019000097,0,0,0,
15/03/2016,.OMXHPI,8105.1,-0.006769058,0,0,0,
16/03/2016,.OMXHPI,8093.39,-0.001445814,0,0,0,
17/03/2016,.OMXHPI,8107.23,0.001708577,0,0,0,
18/03/2016,.OMXHPI,8142.91,0.004391354,0,0,0,
21/03/2016,.OMXHPI,8145.85,0.000360985,0,0,0,
22/03/2016,.OMXHPI,8097.06,-0.006007562,0,0,0,
23/03/2016,.OMXHPI,8046.01,-0.006324716,0,0,0,
24/03/2016,.OMXHPI,7917.73,-0.016071768,0,0,0,
29/03/2016,.OMXHPI,7962.41,0.005627169,0,0,0,
30/03/2016,.OMXHPI,8119.09,0.019486361,0,0,0,
31/03/2016,.OMXHPI,7995.4,-0.015351703,0,0,0,
1/4/2016,.OMXHPI,7866.99,-0.016190852,0,0,0,
4/4/2016,.OMXHPI,7878.99,0.001524199,0,0,0,
5/4/2016,.OMXHPI,7791.15,-0.011211249,0,0,0,
6/4/2016,.OMXHPI,7765.84,-0.003253846,0,0,0,
7/4/2016,.OMXHPI,7668.25,-0.012646201,0,0,0,
8/4/2016,.OMXHPI,7826.17,0.020384818,0,0,0,
11/4/2016,.OMXHPI,7841.25,0.001925014,0,0,0,
12/4/2016,.OMXHPI,7848.96,0.000982779,0,0,0,
13/04/2016,.OMXHPI,7970.28,0.015338585,0,0,0,
